id,link,descr_short,price,screen_size,resolution,cpu,ram,hdd_ssd,gpu,os
5054863,/product/e4f36599fd9bed20/156-noutbuk-lenovo-ideapad-3-15itl6-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15ITL6 серый [Full HD (1920x1080), TN+film, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 4 ГБ, HDD 1000 ГБ, Intel UHD Graphics , без ОС]",264990,15.6,1920x1080,Intel Core i3-1115G4,4,1000,Intel UHD Graphics,без ОС
5015841,/product/70b2ec5c8e5eed20/156-noutbuk-lenovo-v15-g2-itl-cernyj/,"15.6"" Ноутбук Lenovo V15 G2 ITL черный [Full HD (1920x1080), TN+film, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 4 ГБ, HDD 1000 ГБ, Intel UHD Graphics , без ОС]",264990,15.6,1920x1080,Intel Core i3-1115G4,4,1000,Intel UHD Graphics,без ОС
5340860,/product/da5ebdd915cb2ff2/156-noutbuk-hp-laptop-15s-eq1251ur-cernyj/,"15.6"" Ноутбук HP Laptop 15s-eq1251ur черный [Full HD (1920x1080), IPS, AMD Ryzen 3 3250U, ядра: 2 х 2.6 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Graphics , без ОС]",265990,15.6,1920x1080,AMD Ryzen 3 3250U,8,256,AMD Radeon Graphics,без ОС
4752051,/product/86c2653757053332/156-noutbuk-hp-250-g7-cernyj/,"15.6"" Ноутбук HP 250 G7 черный [Full HD (1920x1080), TN+film, Intel Core i3-1005G1, ядра: 2 х 1.2 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel HD Graphics , без ОС]",269990,15.6,1920x1080,Intel Core i3-1005G1,8,256,Intel HD Graphics,без ОС
1392836,/product/95912383ced43332/156-noutbuk-lenovo-ideapad-l340-15api-cernyj/,"15.6"" Ноутбук Lenovo IdeaPad L340-15API черный [Full HD (1920x1080), TN+film, AMD Ryzen 5 3500U, ядра: 4 х 2.1 ГГц, RAM 4 ГБ, SSD 256 ГБ, AMD Radeon Vega 8 , без ОС]",269990,15.6,1920x1080,AMD Ryzen 5 3500U,4,256,AMD Radeon Vega 8,без ОС
4792382,/product/a3db5f95938cd760/173-noutbuk-lenovo-ideapad-3-17itl6-seryj/,"17.3"" Ноутбук Lenovo IdeaPad 3 17ITL6 серый [1600x900, TN+film, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , без ОС]",269990,17.3,1600x900,Intel Core i3-1115G4,8,256,Intel UHD Graphics,без ОС
9964511,/product/4456d956256ae4f8/156-noutbuk-asus-expertbook-l1-l1500cda-bq0718w-cernyj/,"15.6"" Ноутбук ASUS ExpertBook L1 L1500CDA-BQ0718W черный [Full HD (1920x1080), IPS, AMD Ryzen 3 3250U, ядра: 2 х 2.6 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Graphics , Windows 11 Home Single Language]",274990,15.6,1920x1080,AMD Ryzen 3 3250U,8,256,AMD Radeon Graphics,Windows 11 Home Single Language
9964508,/product/f4e8fd88e5a32bbc/156-noutbuk-asus-p1512cea-bq0340-seryj/,"15.6"" Ноутбук ASUS P1512CEA-BQ0340 серый [Full HD (1920x1080), TN+film, Intel Core i5-1135G7, ядра: 4 х 2.4 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel Iris Xe Graphics , без ОС]",274990,15.6,1920x1080,Intel Core i5-1135G7,8,256,Intel Iris Xe Graphics,без ОС
5337163,/product/562a7647f0fb2ff2/156-noutbuk-asus-vivobook-15-m515ua-bq178t-seryj/,"15.6"" Ноутбук ASUS VivoBook 15 M515UA-BQ178T серый [Full HD (1920x1080), IPS, AMD Ryzen 5 5500U, ядра: 6 х 2.1 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Graphics , Windows 10 Home Single Language]",279990,15.6,1920x1080,AMD Ryzen 5 5500U,8,256,AMD Radeon Graphics,Windows 10 Home Single Language
4900197,/product/246204205c82d050/156-noutbuk-lenovo-ideapad-3-15iil05-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15IIL05 серый [HD (1366x768), TN+film, Intel Core i3-1005G1, ядра: 2 х 1.2 ГГц, RAM 8 ГБ, HDD 1000 ГБ, GeForce MX330 2 ГБ, без ОС]",279990,15.6,1366x768,Intel Core i3-1005G1,8,1000,GeForce MX330 2 ГБ,без ОС
